Party Animals,"20 Sep, 2023",74,-30%,"12,59€","17,99€",1,0,0
PlateUp!,"4 Aug, 2022",96,-50%,"9,75€","19,50€",1,0,0
STAR WARS™ Jedi Bundle,,83,-36%,"70,63€","109,98€",1,0,0
Frostpunk: The Last Autumn,"21 Jan, 2020",76,-65%,"5,94€","16,99€",1,0,1
Thief Simulator 2,"4 Oct, 2023",91,-12%,"17,59€","19,99€",1,0,0
NEEDY STREAMER OVERLOAD,"21 Jan, 2022",95,-50%,"6,64€","13,29€",1,0,1
Volcanoids,"29 Jan, 2019",84,-30%,"11,75€","16,79€",1,1,0
Svarog's Dream,"4 Dec, 2023",90,-15%,"17,85€","21,00€",1,0,0
Euro Truck Simulator 2 - Going East!,"19 Sep, 2013",91,-66%,"3,39€","9,99€",1,1,1
Evil West,"21 Nov, 2022",74,-60%,"19,99€","49,99€",1,0,0
SteamWorld Build,"1 Dec, 2023",75,-10%,"26,99€","29,99€",1,0,0
HITMAN 3,"20 Jan, 2022",85,-60%,"27,99€","69,99€",1,0,0
The Forest,"30 Apr, 2018",95,-75%,"4,19€","16,79€",1,0,0
Cosmoteer: Starship Architect & Commander,"24 Oct, 2022",95,-20%,"15,99€","19,99€",1,0,0
Combat Mission Battle for Normandy,"28 Mar, 2023",79,-40%,"36,51€","60,86€",1,0,0
Terra Nil,"28 Mar, 2023",85,-30%,"17,49€","24,99€",1,1,1
SnowRunner - 3-Year Anniversary Edition,,88,-42%,"60,87€","104,96€",1,0,1
Panzer Corps 2: Axis Operations - 1946,"30 Nov, 2023",47,-10%,"17,55€","19,50€",1,0,0
Kagura Games - Starter Pack 1,,85,-69%,"21,18€","69,25€",1,0,0
Green Hell,"5 Sep, 2019",87,-40%,"12,59€","20,99€",1,0,0
Destiny 2: The Witch Queen,"22 Feb, 2022",73,-67%,"9,89€","29,99€",1,0,0
Ghosts of Tabor Starter Pack Bundle,,80,-24%,"30,07€","39,78€",1,0,0
Euro Truck Simulator 2 - Road to the Black Sea,"5 Dec, 2019",86,-66%,"6,11€","17,99€",1,1,1
Warhammer: Vermintide 2,"8 Mar, 2018",84,-80%,"5,59€","27,99€",1,0,0
"Warhammer 40,000: Boltgun","23 May, 2023",92,-32%,"14,95€","21,99€",1,0,0
The Planet Crafter,"24 Mar, 2022",96,-25%,"14,62€","19,50€",1,0,0
Bad Boys Bundle,,87,-87%,"4,63€","36,29€",1,0,0
We Were Here Series,,88,-37%,"28,38€","44,96€",1,0,0
Workers & Resources: Soviet Republic,"15 Mar, 2019",92,-35%,"25,99€","39,99€",1,0,0
Endzone - A World Apart,"18 Mar, 2021",77,-80%,"5,99€","29,99€",1,0,0
Endzone - A World Apart | Complete Edition,,76,-67%,"15,93€","47,97€",1,0,0
Dead Space,"27 Jan, 2023",91,-55%,"26,99€","59,99€",1,0,0
Construction Simulator,"20 Sep, 2022",81,-35%,"22,74€","34,99€",1,0,0
Frostpunk: On The Edge,"20 Aug, 2020",44,-65%,"4,54€","12,99€",1,0,1
Starfield,"5 Sep, 2023",68,-30%,"48,99€","69,99€",1,0,0
